#TimeStamp#	#Collision Event#	#Mode Switch Event#	#Reset Event#	#Waypoint Event#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	#HeadOrientationX#	#HeadOrientationY#	#HeadOrientationZ#	#WayPointX#	#WayPointY#	#WayPointZ#	#Accelerate#
1572.432	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.452	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.472	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.492	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.512	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.532	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.552	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.572	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.592	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.612	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.632	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.652	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.672	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.692	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.712	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.732	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.752	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.772	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.792	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.812	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.832	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.852	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.872	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.892	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.912	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.932	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.952	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.972	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.992	COLLISION_NONE	CORRECT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.012	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.032	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.052	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.32502	1.8	-169.5424	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.072	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.29632	1.8	-169.4284	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.092	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.23256	1.8	-169.2021	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.112	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.17851	1.8	-168.9759	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.132	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.13185	1.8	-168.7493	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.152	COLLISION_NONE	IDLE_SWITCH	NOT_RESET	NOT_WAYPOINT	56.07719	1.8	-168.524	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.172	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.02782	1.8	-168.3205	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.192	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.98373	1.8	-168.1388	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.212	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.93964	1.8	-167.9571	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.232	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.90084	1.8	-167.7971	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.252	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.86731	1.8	-167.659	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.272	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.84435	1.8	-167.5643	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.292	COLLISION_NONE	CORRECT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.82666	1.8	-167.4914	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1573.313	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.81426	1.8	-167.4403	0	-0.1413957	0	0.9899532	0	0	0	0	0	0	0
1573.333	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.80714	1.8	-167.411	0	-0.1413957	0	0.9899532	0	0	0	0	0	0	0
1573.353	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.80003	1.8	-167.3816	0	-0.1468243	0	0.9891627	0	0	0	0	0	0	0
