#Surfing Trial Path#
#TimeStamp#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	
13.32012	-310.6115	57.98307	174.0265	0.1321293	0.07513648	-0.01004496	0.9883296
13.34012	-310.3859	57.75916	175.4839	0.1411146	0.07246693	-0.01035786	0.9872831
13.36012	-310.1639	57.50391	176.9289	0.1411146	0.07246693	-0.01035786	0.9872831
13.38012	-309.9419	57.24866	178.3739	0.150094	0.06947594	-0.01057415	0.9861709
13.40012	-309.7268	56.95293	179.7989	0.1557816	0.06621534	-0.01046675	0.9855141
13.42012	-309.5223	56.6137	181.1971	0.1557816	0.06621534	-0.01046675	0.9855141
13.44012	-309.3178	56.27447	182.5954	0.1611036	0.0626725	-0.01025164	0.9848922
13.46012	-309.122	55.90642	183.9773	0.1611036	0.0626725	-0.01025164	0.9848922
13.48012	-308.9262	55.53838	185.3592	0.1660598	0.05886077	-0.009930241	0.9843073
13.50012	-308.7379	55.14978	186.7304	0.1706498	0.0548535	-0.009515287	0.9837577
13.52012	-308.5566	54.74572	188.094	0.1706498	0.0548535	-0.009515287	0.9837577
13.54012	-308.3752	54.34166	189.4577	0.1734182	0.05066345	-0.008933331	0.9835037
13.56012	-308.2004	53.92558	190.8158	0.1734182	0.05066345	-0.008933331	0.9835037
13.58012	-308.0256	53.50949	192.174	0.1734561	0.04629952	-0.008163854	0.9837188
13.60012	-307.8575	53.08412	193.528	0.1734915	0.04181846	-0.007373722	0.9839195
13.62012	-307.6959	52.65157	194.8791	0.1734915	0.04181846	-0.007373722	0.9839195
13.64012	-307.5343	52.21903	196.2301	0.1735237	0.03727357	-0.006572336	0.9841021
13.66012	-307.3791	51.78096	197.5788	0.1735237	0.03727357	-0.006572336	0.9841021
13.68012	-307.2239	51.3429	198.9276	0.1735524	0.03270368	-0.00576654	0.9842646
13.70012	-307.0778	50.89734	200.2764	0.1735773	0.02813307	-0.004960618	0.9844059
13.72012	-306.9403	50.44594	201.6252	0.1735773	0.02813307	-0.004960618	0.9844059
13.74012	-306.8029	49.99454	202.9741	0.1735985	0.02356186	-0.00415459	0.9845259
13.76013	-306.6736	49.53857	204.323	0.1735985	0.02356186	-0.00415459	0.9845259
13.78013	-306.5444	49.0826	205.672	0.1736159	0.01899014	-0.003348473	0.9846247
13.80013	-306.4229	48.62301	207.0212	0.1736296	0.01441801	-0.002542284	0.9847022
13.82013	-306.3089	48.1605	208.3705	0.1736296	0.01441801	-0.002542284	0.9847022
13.84013	-306.1948	47.69798	209.7198	0.1736395	0.009845568	-0.001736039	0.9847586
13.86013	-306.0878	47.23309	211.0693	0.1736457	0.005272914	-0.0009297568	0.9847937
13.88013	-305.9875	46.7662	212.4189	0.1736457	0.005272914	-0.0009297568	0.9847937
13.90013	-305.8873	46.29932	213.7686	0.1736481	0.0007001465	-0.0001234547	0.9848076
13.92013	-305.7935	45.83077	215.1184	0.1736481	0.0007001465	-0.0001234547	0.9848076
13.94013	-305.6998	45.36222	216.4681	-0.1736468	0.003872637	-0.0006828503	-0.9848002
13.96013	-305.6125	44.89224	217.818	-0.1736418	0.008445205	-0.001489117	-0.9847715
13.98013	-305.5379	44.42048	219.166	-0.1736418	0.008445205	-0.001489117	-0.9847715
14.00013	-305.4633	43.94873	220.5139	-0.173633	0.01301759	-0.002295352	-0.9847217
14.02013	-305.3996	43.47563	221.8604	-0.1736204	0.01758969	-0.003101537	-0.9846507
14.04013	-305.3453	43.00149	223.2057	-0.1736204	0.01758969	-0.003101537	-0.9846507
14.06013	-305.291	42.52736	224.551	-0.1736042	0.02216119	-0.003907614	-0.9845584
14.08013	-305.2451	42.0524	225.8954	-0.1736042	0.02216119	-0.003907614	-0.9845584
14.10013	-305.1991	41.57745	227.2397	-0.1735842	0.0267322	-0.004713607	-0.9844449
14.12013	-305.1791	41.10167	228.5772	-0.1735604	0.03130311	-0.005519581	-0.9843102
14.14013	-305.1786	40.62533	229.91	-0.1735329	0.0358731	-0.006325395	-0.9841542
14.16013	-305.1934	40.14861	231.2394	-0.1735329	0.0358731	-0.006325395	-0.9841542
14.18013	-305.2083	39.6719	232.5689	-0.1735017	0.04044233	-0.007131073	-0.983977
14.20014	-305.2528	39.19669	233.8864	-0.1734667	0.04501068	-0.007936596	-0.9837786
14.22014	-305.3172	38.72231	235.1969	-0.1734667	0.04501068	-0.007936596	-0.9837786
14.24014	-305.3816	38.24794	236.5075	-0.173428	0.04957806	-0.008741949	-0.983559
14.26014	-305.4753	37.77763	237.8006	-0.1733855	0.05414437	-0.009547112	-0.9833182
14.28014	-305.6017	37.32117	239.0492	-0.1733393	0.05870951	-0.01035207	-0.9830562
14.30014	-305.7439	36.87362	240.2708	-0.1732894	0.06327339	-0.0111568	-0.982773
14.32014	-305.8968	36.43338	241.4706	-0.1732357	0.06783592	-0.0119613	-0.9824687
14.34014	-306.0586	35.99997	242.6503	-0.1731783	0.07239696	-0.01276554	-0.982143
14.36014	-306.2233	35.5668	243.829	-0.1731172	0.07695647	-0.0135695	-0.9817963
14.38014	-306.4007	35.13902	244.9908	-0.1730523	0.08151429	-0.01437317	-0.9814284
14.40014	-306.5887	34.71851	246.1307	-0.1729837	0.08607037	-0.01517653	-0.9810393
